epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,724.748,1.44535,1.96315,1.45492,0.62035,0.51785,0.5636,0.29241,1.51995,1.66354,1.45841,0.000554676,0.000554676,0.000554676
2,1504.84,1.57251,1.88718,1.53563,0.5348,0.49035,0.47963,0.23454,1.67166,1.85686,1.57353,0.00105538,0.00105538,0.00105538
3,2202.4,1.60549,1.88117,1.56834,0.64388,0.50164,0.5401,0.28713,1.68779,1.81464,1.58191,0.00150107,0.00150107,0.00150107
4,2948.15,1.55625,1.82923,1.54931,0.66417,0.49728,0.55044,0.25684,1.72048,1.66883,1.63009,0.00141945,0.00141945,0.00141945
5,3499.07,1.54369,1.78734,1.51966,0.71538,0.55352,0.64474,0.34652,1.59948,1.52138,1.49202,0.00133693,0.00133693,0.00133693
6,4022.66,1.49004,1.69849,1.49718,0.6087,0.57165,0.61726,0.33855,1.54368,1.52065,1.49147,0.00125442,0.00125442,0.00125442
7,4581.94,1.44404,1.6596,1.48439,0.73369,0.53407,0.64042,0.35786,1.55339,1.45459,1.49192,0.0011719,0.0011719,0.0011719
8,5049.46,1.41811,1.60598,1.46276,0.6778,0.6065,0.65061,0.37534,1.49915,1.40022,1.4547,0.00108938,0.00108938,0.00108938
9,5507.01,1.42245,1.56552,1.45808,0.66533,0.61869,0.66871,0.38738,1.45197,1.36791,1.40137,0.00100687,0.00100687,0.00100687
10,5975.77,1.36736,1.51382,1.41963,0.7725,0.62013,0.69952,0.41321,1.44243,1.27516,1.394,0.000924352,0.000924352,0.000924352
11,6451.55,1.35388,1.44731,1.43201,0.75311,0.6071,0.69751,0.41361,1.43184,1.3112,1.39406,0.000841835,0.000841835,0.000841835
12,6921.03,1.3275,1.3484,1.42676,0.69917,0.60659,0.66728,0.39778,1.40145,1.358,1.37766,0.000759318,0.000759318,0.000759318
13,7396.63,1.26889,1.27758,1.37303,0.73989,0.65314,0.71753,0.44768,1.36299,1.21511,1.34459,0.000676802,0.000676802,0.000676802
14,7864.23,1.24868,1.21921,1.3545,0.76047,0.63738,0.72136,0.45091,1.35217,1.1679,1.34466,0.000594286,0.000594286,0.000594286
15,8335.23,1.20187,1.16108,1.33487,0.715,0.66445,0.72453,0.46039,1.34573,1.18403,1.32728,0.000511769,0.000511769,0.000511769
16,8809.76,1.18866,1.12723,1.31519,0.78536,0.64279,0.73661,0.47266,1.30505,1.13296,1.31141,0.000429253,0.000429253,0.000429253
17,9263.8,1.15048,1.07972,1.29728,0.78485,0.67947,0.7498,0.47178,1.29993,1.08043,1.30362,0.000346736,0.000346736,0.000346736
18,9716.7,1.10963,1.04384,1.27147,0.76358,0.67367,0.74473,0.47326,1.28385,1.08236,1.30737,0.00026422,0.00026422,0.00026422
19,10173.4,1.08739,1.01544,1.26779,0.79297,0.69023,0.75979,0.49002,1.26242,1.03461,1.28297,0.000181703,0.000181703,0.000181703
20,10639,1.08732,0.99819,1.25427,0.80166,0.70102,0.76972,0.49203,1.27551,1.02302,1.29834,9.91865e-05,9.91865e-05,9.91865e-05
